frame_index,wall_clock_us
0,1787219993865306
1,1787219993873825
2,1787219993889332
3,1787219993921538
4,1787219993952537
5,1787219993985548
6,1787219994016566
7,1787219994064571
8,1787219994096285
9,1787219994128321
10,1787219994160830
11,1787219994193351
12,1787219994226346
13,1787219994256352
14,1787219994288861
15,1787219994320751
16,1787219994351807
17,1787219994384458
18,1787219994416473
19,1787219994463982
20,1787219994496494
21,1787219994528008
22,1787219994560012
23,1787219994592520
24,1787219994624517
25,1787219994656524
26,1787219994688042
27,1787219994720301
28,1787219994752301
29,1787219994783818
30,1787219994815822
31,1787219994863827
32,1787219994895376
33,1787219994927519
34,1787219994961522
35,1787219994992818
36,1787219995024820
37,1787219995057826
38,1787219995087364
39,1787219995119929
40,1787219995151925
41,1787219995183436
42,1787219995215437
43,1787219995263508
44,1787219995295957
45,1787219995328224
46,1787219995359328
47,1787219995391846
48,1787219995423364
49,1787219995456362
50,1787219995487880
51,1787219995520964
52,1787219995550040
53,1787219995584485
54,1787219995615484
55,1787219995664489
56,1787219995695996
57,1787219995728165
58,1787219995760184
59,1787219995792694
60,1787219995823690
61,1787219995855693
62,1787219995888856
63,1787219995918815
64,1787219995951811
65,1787219995984352
66,1787219996015872
67,1787219996063882
68,1787219996094926
69,1787219996127829
70,1787219996159834
71,1787219996193341
72,1787219996223339
73,1787219996251342
74,1787219996287852
75,1787219996319162
76,1787219996351677
77,1787219996385281
78,1787219996415286
79,1787219996464811
80,1787219996496327
81,1787219996527419
82,1787219996559421
83,1787219996592928
84,1787219996623927
85,1787219996655927
86,1787219996687447
87,1787219996719759
88,1787219996751758
89,1787219996783280
90,1787219996815798
91,1787219996863802
92,1787219996893787
93,1787219996927532
94,1787219996959534
95,1787219996991546
96,1787219997024546
97,1787219997055551
98,1787219997088068
99,1787219997119740
100,1787219997152250
101,1787219997183783
102,1787219997214858
103,1787219997263299
104,1787219997295806
105,1787219997328840
106,1787219997359905
107,1787219997392430
108,1787219997423942
109,1787219997454949
110,1787219997487455
111,1787219997519976
112,1787219997551984
113,1787219997583492
114,1787219997615495
115,1787219997663501
116,1787219997696030
117,1787219997727556
118,1787219997759558
119,1787219997792083
120,1787219997824077
121,1787219997856082
122,1787219997887591
123,1787219997919500
124,1787219997951663
125,1787219997984179
126,1787219998015694
127,1787219998063697
128,1787219998094739
129,1787219998126931
130,1787219998159461
131,1787219998191976
132,1787219998223974
133,1787219998255976
134,1787219998288494
135,1787219998319501
136,1787219998351580
137,1787219998381712
138,1787219998416721
139,1787219998464234
140,1787219998497769
141,1787219998527292
142,1787219998559293
143,1787219998592816
144,1787219998624819
145,1787219998655818
146,1787219998687333
147,1787219998719340
148,1787219998752425
149,1787219998783939
150,1787219998815940
151,1787219998863941
152,1787219998895037
153,1787219998926559
154,1787219998960341
155,1787219998991364
156,1787219999023363
157,1787219999055367
158,1787219999087886
159,1787219999119818
160,1787219999151883
161,1787219999183417
162,1787219999217417
163,1787219999262422
164,1787219999295928
165,1787219999328444
166,1787219999359511
167,1787219999391529
168,1787219999424541
169,1787219999456053
170,1787219999487588
171,1787219999519588
172,1787219999557109
173,1787219999582701
174,1787219999617621
175,1787219999665624
176,1787219999696146
177,1787219999728151
178,1787219999759367
179,1787219999791894
180,1787219999823896
181,1787219999855893
182,1787219999887418
183,1787219999919821
184,1787219999952335
185,1787219999983853
186,1787220000018386
187,1787220000064395
188,1787220000096089
189,1787220000128490
190,1787220000159998
191,1787220000192513
192,1787220000223513
193,1787220000258511
194,1787220000288033
195,1787220000320049
196,1787220000352079
197,1787220000387096
198,1787220000417099
199,1787220000464614
200,1787220000499122
201,1787220000527131
202,1787220000559654
203,1787220000592176
204,1787220000625167
205,1787220000656167
206,1787220000687677
207,1787220000721682
208,1787220000752571
209,1787220000784109
210,1787220000818110
211,1787220000864118
212,1787220000899140
213,1787220000928142
214,1787220000959654
215,1787220000991675
216,1787220001024680
217,1787220001055679
218,1787220001088209
219,1787220001120727
220,1787220001151843
