frame_index,wall_clock_us
0,1787220024115596
1,1787220024125668
2,1787220024148790
3,1787220024180906
4,1787220024212907
5,1787220024260568
6,1787220024292786
7,1787220024323338
8,1787220024356343
9,1787220024388791
10,1787220024420253
11,1787220024452440
12,1787220024486762
13,1787220024518108
14,1787220024548299
15,1787220024579299
16,1787220024611809
17,1787220024660073
18,1787220024693072
19,1787220024723628
20,1787220024755152
21,1787220024788151
22,1787220024820664
23,1787220024852315
24,1787220024884215
25,1787220024916045
26,1787220024948551
27,1787220024982560
28,1787220025012901
29,1787220025060492
30,1787220025093496
31,1787220025124127
32,1787220025155455
33,1787220025187504
34,1787220025219014
35,1787220025251035
36,1787220025284140
37,1787220025316245
38,1787220025345274
39,1787220025380908
40,1787220025411910
41,1787220025459750
42,1787220025491876
43,1787220025523033
44,1787220025557033
45,1787220025587655
46,1787220025619276
47,1787220025650956
48,1787220025683956
49,1787220025716957
50,1787220025747475
51,1787220025779476
52,1787220025812480
53,1787220025859907
54,1787220025891929
55,1787220025923633
56,1787220025955633
57,1787220025986803
58,1787220026020208
59,1787220026052722
60,1787220026083796
61,1787220026116233
62,1787220026148993
63,1787220026179993
64,1787220026211603
65,1787220026259635
66,1787220026292225
67,1787220026323679
68,1787220026354702
69,1787220026387277
70,1787220026414790
71,1787220026450098
72,1787220026484332
73,1787220026516157
74,1787220026547664
75,1787220026579662
76,1787220026610665
77,1787220026659060
78,1787220026691817
79,1787220026723044
80,1787220026756095
81,1787220026787295
82,1787220026818347
83,1787220026852808
84,1787220026883540
85,1787220026913840
86,1787220026945690
87,1787220026979692
88,1787220027008292
89,1787220027060502
90,1787220027092501
91,1787220027123755
92,1787220027155756
93,1787220027188371
94,1787220027220658
95,1787220027251181
96,1787220027284187
97,1787220027316703
98,1787220027348371
99,1787220027380558
100,1787220027411600
101,1787220027460280
102,1787220027491507
103,1787220027524108
104,1787220027555399
105,1787220027587397
106,1787220027619411
107,1787220027650930
108,1787220027684148
109,1787220027716151
110,1787220027747732
111,1787220027779733
112,1787220027811751
113,1787220027860445
114,1787220027892458
115,1787220027925161
116,1787220027956603
117,1787220027987910
118,1787220028018767
119,1787220028051797
120,1787220028082851
121,1787220028115901
122,1787220028147921
123,1787220028180323
124,1787220028211608
125,1787220028258747
126,1787220028290746
127,1787220028324267
128,1787220028360275
129,1787220028387005
130,1787220028420010
131,1787220028452055
132,1787220028483273
133,1787220028516277
134,1787220028547906
135,1787220028580074
136,1787220028611758
137,1787220028659798
138,1787220028692046
139,1787220028724136
140,1787220028755341
141,1787220028787373
142,1787220028819628
143,1787220028851823
144,1787220028884004
145,1787220028912435
146,1787220028947451
147,1787220028979382
148,1787220029012387
149,1787220029058416
150,1787220029092917
151,1787220029123080
152,1787220029155111
153,1787220029187581
154,1787220029219594
155,1787220029252114
156,1787220029283901
157,1787220029315904
158,1787220029347910
159,1787220029379541
160,1787220029412054
161,1787220029460191
162,1787220029491201
163,1787220029525713
164,1787220029556718
165,1787220029585713
166,1787220029619717
167,1787220029652242
168,1787220029683900
169,1787220029715905
170,1787220029747420
171,1787220029780698
172,1787220029811674
173,1787220029859662
174,1787220029893546
175,1787220029924961
176,1787220029956045
177,1787220029987496
178,1787220030019497
179,1787220030051367
180,1787220030085091
181,1787220030116463
182,1787220030147406
183,1787220030180406
184,1787220030213621
185,1787220030259950
186,1787220030293975
187,1787220030324483
188,1787220030355764
189,1787220030387416
190,1787220030419938
191,1787220030452957
192,1787220030484461
193,1787220030517514
194,1787220030548890
195,1787220030581889
196,1787220030612892
197,1787220030660403
198,1787220030692678
199,1787220030725184
200,1787220030757188
201,1787220030787188
202,1787220030820537
203,1787220030852324
204,1787220030885532
205,1787220030913683
206,1787220030948702
207,1787220030981209
208,1787220031014531
209,1787220031060722
210,1787220031094243
211,1787220031125110
212,1787220031156284
213,1787220031185789
214,1787220031223589
215,1787220031252095
216,1787220031284322
217,1787220031317784
218,1787220031348592
219,1787220031380116
220,1787220031414631
221,1787220031460184
222,1787220031490816
223,1787220031523822
224,1787220031558330
225,1787220031588686
226,1787220031620688
227,1787220031652204
228,1787220031685008
229,1787220031717990
230,1787220031750012
231,1787220031782240
232,1787220031814684
233,1787220031860835
234,1787220031893103
235,1787220031923994
236,1787220031956500
237,1787220031987577
238,1787220032020514
239,1787220032051968
240,1787220032084164
241,1787220032116275
242,1787220032150603
243,1787220032181684
244,1787220032215698
245,1787220032260665
246,1787220032292171
247,1787220032324175
248,1787220032355995
249,1787220032387984
250,1787220032420008
251,1787220032452731
252,1787220032484874
253,1787220032517386
254,1787220032550547
255,1787220032582780
256,1787220032615787
257,1787220032660320
258,1787220032694845
259,1787220032724860
260,1787220032755826
261,1787220032787879
262,1787220032819933
263,1787220032852577
264,1787220032884109
265,1787220032914780
266,1787220032948349
267,1787220032982093
268,1787220033012095
269,1787220033060128
270,1787220033092640
271,1787220033123643
272,1787220033155493
273,1787220033188493
274,1787220033219560
275,1787220033252078
276,1787220033285232
277,1787220033317607
278,1787220033350113
279,1787220033380182
280,1787220033411756
281,1787220033460107
282,1787220033494613
283,1787220033523617
284,1787220033555683
285,1787220033587690
286,1787220033619868
287,1787220033652378
288,1787220033683399
289,1787220033716117
290,1787220033751223
291,1787220033780224
292,1787220033815233
