frame_index,wall_clock_us
0,1787219269522142
1,1787219269531257
2,1787219269554605
3,1787219269587705
4,1787219269618606
5,1787219269651461
6,1787219269684385
7,1787219269715443
8,1787219269746329
9,1787219269794356
10,1787219269826566
11,1787219269858383
12,1787219269892086
13,1787219269922433
14,1787219269954603
15,1787219269987563
16,1787219270018820
17,1787219270051424
18,1787219270082561
19,1787219270114603
20,1787219270146219
21,1787219270194170
22,1787219270226206
23,1787219270255978
24,1787219270290773
25,1787219270321968
26,1787219270353017
27,1787219270387134
28,1787219270418957
29,1787219270450590
30,1787219270483144
31,1787219270514207
32,1787219270546282
33,1787219270592877
34,1787219270625972
35,1787219270657727
36,1787219270689843
37,1787219270722648
38,1787219270755256
39,1787219270786587
40,1787219270819323
41,1787219270850395
42,1787219270882372
43,1787219270914136
44,1787219270945440
45,1787219270994293
46,1787219271026353
47,1787219271058627
48,1787219271089610
49,1787219271122380
50,1787219271153922
51,1787219271186452
52,1787219271216690
53,1787219271249889
54,1787219271282051
55,1787219271313285
56,1787219271344662
57,1787219271393524
58,1787219271426401
59,1787219271458365
60,1787219271490599
61,1787219271522014
62,1787219271554607
63,1787219271583445
64,1787219271617735
65,1787219271647740
66,1787219271681692
67,1787219271713797
68,1787219271746526
69,1787219271794046
70,1787219271826061
71,1787219271857822
72,1787219271890387
73,1787219271921884
74,1787219271956189
75,1787219271987569
76,1787219272017424
77,1787219272049823
78,1787219272081873
79,1787219272113887
80,1787219272146375
81,1787219272194354
82,1787219272226664
83,1787219272259251
84,1787219272290731
85,1787219272322542
86,1787219272355133
87,1787219272386419
88,1787219272416269
89,1787219272450040
90,1787219272482431
91,1787219272513470
92,1787219272546501
93,1787219272593446
94,1787219272626732
95,1787219272658008
96,1787219272690141
97,1787219272721986
98,1787219272754013
99,1787219272785873
100,1787219272817973
101,1787219272850007
102,1787219272882007
103,1787219272914420
104,1787219272945206
105,1787219272994334
106,1787219273026426
107,1787219273058209
108,1787219273090809
109,1787219273122763
110,1787219273155183
111,1787219273185608
112,1787219273214107
113,1787219273250206
114,1787219273282210
115,1787219273314405
116,1787219273346352
117,1787219273394372
118,1787219273426448
119,1787219273458614
120,1787219273490118
121,1787219273522649
122,1787219273554592
123,1787219273586156
124,1787219273619138
125,1787219273650033
126,1787219273681972
127,1787219273714132
128,1787219273745614
129,1787219273794527
130,1787219273826310
131,1787219273858056
132,1787219273890357
133,1787219273922117
134,1787219273954203
135,1787219273986278
136,1787219274018251
137,1787219274049332
138,1787219274081890
139,1787219274113828
140,1787219274146574
141,1787219274193774
142,1787219274226678
143,1787219274259037
144,1787219274290535
145,1787219274322130
146,1787219274353817
147,1787219274385581
148,1787219274417526
149,1787219274449617
150,1787219274482219
151,1787219274514075
152,1787219274546294
153,1787219274594227
154,1787219274626299
155,1787219274661003
156,1787219274689891
157,1787219274721717
158,1787219274753919
159,1787219274785989
160,1787219274817874
161,1787219274849848
162,1787219274882023
163,1787219274913933
164,1787219274946084
165,1787219274993900
166,1787219275026073
167,1787219275057788
168,1787219275090672
169,1787219275122483
170,1787219275154080
171,1787219275186104
172,1787219275218046
173,1787219275246644
174,1787219275282209
175,1787219275314120
176,1787219275346935
177,1787219275394194
178,1787219275426365
179,1787219275456878
180,1787219275490143
181,1787219275522178
