frame_index,wall_clock_us
0,1787218916492678
1,1787218916502434
2,1787218916518959
3,1787218916550493
4,1787218916582033
5,1787218916614771
6,1787218916646284
7,1787218916691006
8,1787218916726431
9,1787218916758480
10,1787218916790806
11,1787218916823057
12,1787218916854421
13,1787218916888005
14,1787218916918495
15,1787218916951350
16,1787218916981099
17,1787218917014083
18,1787218917045702
19,1787218917094342
20,1787218917128340
21,1787218917159724
22,1787218917191032
23,1787218917221804
24,1787218917254183
25,1787218917286588
26,1787218917318206
27,1787218917350203
28,1787218917381332
29,1787218917414486
30,1787218917446056
31,1787218917494496
32,1787218917526930
33,1787218917558952
34,1787218917589573
35,1787218917621701
36,1787218917654472
37,1787218917684747
38,1787218917717595
39,1787218917750163
40,1787218917780703
41,1787218917813504
42,1787218917845682
43,1787218917894105
44,1787218917925614
45,1787218917957432
46,1787218917989923
47,1787218918020527
48,1787218918054640
49,1787218918085962
50,1787218918118349
51,1787218918151671
52,1787218918182338
53,1787218918213962
54,1787218918245747
55,1787218918294938
56,1787218918326313
57,1787218918358463
58,1787218918389797
59,1787218918421556
60,1787218918454548
61,1787218918485507
62,1787218918517697
63,1787218918549775
64,1787218918581447
65,1787218918614624
66,1787218918645862
67,1787218918696964
68,1787218918725900
69,1787218918757908
70,1787218918789332
71,1787218918821537
72,1787218918849846
73,1787218918885951
74,1787218918918327
75,1787218918950228
76,1787218918981700
77,1787218919013696
78,1787218919045037
79,1787218919093398
80,1787218919125826
81,1787218919157431
82,1787218919190088
83,1787218919222178
84,1787218919254521
85,1787218919286814
86,1787218919318205
87,1787218919349788
88,1787218919381409
89,1787218919414586
90,1787218919445162
91,1787218919494452
92,1787218919525513
93,1787218919558050
94,1787218919589730
95,1787218919621853
96,1787218919654297
97,1787218919685484
98,1787218919718417
99,1787218919751268
100,1787218919781426
101,1787218919814547
102,1787218919846604
103,1787218919893953
104,1787218919927791
105,1787218919957609
106,1787218919990183
107,1787218920021487
108,1787218920053952
109,1787218920085425
110,1787218920118391
111,1787218920149016
112,1787218920181712
113,1787218920214314
114,1787218920246653
115,1787218920293715
116,1787218920321959
117,1787218920358120
118,1787218920389594
119,1787218920421479
120,1787218920453842
121,1787218920486291
122,1787218920518472
123,1787218920550475
124,1787218920583134
125,1787218920615378
126,1787218920645609
127,1787218920694065
128,1787218920726345
129,1787218920758402
130,1787218920789821
131,1787218920821739
132,1787218920854325
133,1787218920886643
134,1787218920918849
135,1787218920950420
136,1787218920983261
137,1787218921014576
138,1787218921045232
139,1787218921093992
140,1787218921125802
141,1787218921157534
142,1787218921189668
143,1787218921221529
144,1787218921254181
145,1787218921285234
146,1787218921318599
147,1787218921349840
148,1787218921381560
149,1787218921414369
150,1787218921441679
151,1787218921493671
152,1787218921525686
153,1787218921558160
154,1787218921590750
155,1787218921621901
156,1787218921655237
157,1787218921686121
158,1787218921719535
159,1787218921750781
160,1787218921782340
161,1787218921813902
162,1787218921846059
163,1787218921894450
164,1787218921925532
165,1787218921957255
166,1787218921990522
167,1787218922021942
168,1787218922056357
169,1787218922085327
170,1787218922118627
171,1787218922150704
172,1787218922181577
173,1787218922214327
174,1787218922246476
175,1787218922294051
176,1787218922325770
177,1787218922357922
178,1787218922389538
179,1787218922421517
180,1787218922452933
181,1787218922486431
182,1787218922518137
183,1787218922549621
184,1787218922581690
185,1787218922614228
186,1787218922646618
187,1787218922693994
188,1787218922726280
189,1787218922757586
190,1787218922788951
191,1787218922821092
192,1787218922854271
193,1787218922886996
194,1787218922918808
195,1787218922950271
196,1787218922982169
197,1787218923014707
198,1787218923045561
199,1787218923094828
200,1787218923127843
201,1787218923158922
