frame_index,wall_clock_us
0,1787219070151001
1,1787219070160771
2,1787219070178178
3,1787219070211425
4,1787219070241999
5,1787219070274917
6,1787219070306572
7,1787219070339174
8,1787219070370691
9,1787219070403846
10,1787219070436083
11,1787219070466886
12,1787219070538191
13,1787219070546803
14,1787219070578329
15,1787219070611563
16,1787219070642212
17,1787219070675549
18,1787219070706436
19,1787219070738644
20,1787219070770961
21,1787219070802903
22,1787219070834796
23,1787219070866488
24,1787219070914797
25,1787219070945898
26,1787219070977991
27,1787219071010122
28,1787219071042679
29,1787219071072635
30,1787219071106699
31,1787219071138696
32,1787219071170046
33,1787219071201863
34,1787219071234120
35,1787219071266506
36,1787219071314290
37,1787219071345106
38,1787219071378027
39,1787219071409633
40,1787219071443007
41,1787219071474150
42,1787219071504624
43,1787219071539294
44,1787219071568938
45,1787219071602544
46,1787219071635432
47,1787219071666056
48,1787219071714246
49,1787219071745543
50,1787219071777547
51,1787219071810175
52,1787219071842008
53,1787219071874966
54,1787219071909066
55,1787219071938047
56,1787219071969696
57,1787219072001918
58,1787219072034796
59,1787219072066194
60,1787219072114493
61,1787219072145730
62,1787219072177259
63,1787219072209646
64,1787219072241592
65,1787219072274314
66,1787219072305614
67,1787219072338239
68,1787219072369751
69,1787219072401868
70,1787219072434354
71,1787219072463776
72,1787219072513991
73,1787219072546498
74,1787219072577852
75,1787219072610551
76,1787219072642488
77,1787219072673967
78,1787219072705862
79,1787219072737823
80,1787219072771109
81,1787219072802474
82,1787219072833667
83,1787219072866178
84,1787219072914309
85,1787219072946546
86,1787219072978523
87,1787219073009845
88,1787219073042047
89,1787219073075402
90,1787219073106355
91,1787219073138867
92,1787219073170147
93,1787219073201957
94,1787219073233710
95,1787219073266284
96,1787219073314094
97,1787219073345923
98,1787219073377771
99,1787219073410236
100,1787219073442363
101,1787219073474906
102,1787219073503750
103,1787219073538239
104,1787219073569437
105,1787219073601294
106,1787219073634287
107,1787219073665842
108,1787219073713894
109,1787219073750125
110,1787219073778135
111,1787219073810483
112,1787219073842734
113,1787219073873880
114,1787219073905854
115,1787219073937956
116,1787219073972602
117,1787219074002177
118,1787219074034845
119,1787219074066259
120,1787219074115022
121,1787219074146953
122,1787219074177920
123,1787219074209840
124,1787219074241795
125,1787219074274369
126,1787219074305733
127,1787219074337911
128,1787219074370373
129,1787219074401887
130,1787219074433785
131,1787219074466309
132,1787219074514122
133,1787219074545350
134,1787219074578843
135,1787219074610030
136,1787219074642116
137,1787219074674650
138,1787219074705881
139,1787219074737750
140,1787219074769835
141,1787219074802360
142,1787219074834441
143,1787219074865870
144,1787219074914375
145,1787219074946063
146,1787219074978608
147,1787219075009747
148,1787219075041841
149,1787219075074261
